Designator,Mid X,Mid Y,Layer,Rotation
C1,185.75,-86.65,T,90.0
C2,168.75,-87.5,T,90.0
C3,173.5,-84.25,T,90.0
C4,190.4,-93.35,T,180.0
C5,176.5,-84.25,T,90.0
C6,181.25,-87.5,T,90.0
C7,179.9,-107.0,T,90.0
C8,178.5,-103.5,T,270.0
C9,175.25,-110.25,T,180.0
D1,166.25,-96.75,T,270.0
D10,184.75,-105.25,T,180.0
D11,160.5,-98.4,T,270.0
D2,162.2,-98.4,T,270.0
D3,191.75,-114.75,T,0.0
D4,184.75,-114.75,T,0.0
D5,191.75,-101.75,T,0.0
D6,184.75,-101.75,T,0.0
D7,191.75,-118.25,T,180.0
D8,184.75,-118.25,T,180.0
D9,191.75,-105.25,T,180.0
J1,163.0,-106.25,T,270.0
J2,201.0,-114.75,T,270.0
J3,174.75,-116.0,T,180.0
J4,201.0,-80.25,T,270.0
J5,201.0,-92.75,T,270.0
R1,190.4,-91.85,T,0.0
R2,171.5,-110.25,T,0.0
R3,162.2,-95.15,T,90.0
R4,194.5,-111.25,T,90.0
R5,194.5,-98.25,T,90.0
R6,181.0,-110.5,T,270.0
R7,181.0,-97.5,T,270.0
R9,160.5,-95.1,T,90.0
RV1,192.5,-77.48,T,0.0
RV2,185.0,-77.48,T,0.0
RV3,177.5,-77.48,T,0.0
RV4,170.0,-77.48,T,0.0
U1,191.25,-86.4,T,0.0
U2,175.0,-88.5,T,90.0
U3,173.5,-106.5,T,270.0
U4,187.75,-110.0,T,90.0
U5,187.75,-97.0,T,90.0
